Index,Date,Temperature
862,1846-11-01,1.9
863,1846-12-01,-1.0
864,1847-01-01,-3.0
865,1847-02-01,-0.5
866,1847-03-01,2.1
867,1847-04-01,6.4
868,1847-05-01,13.7
869,1847-06-01,12.2
870,1847-07-01,15.6
871,1847-08-01,16.0
872,1847-09-01,10.5
873,1847-10-01,6.6
874,1847-11-01,2.2
875,1847-12-01,0.3
876,1848-01-01,-6.0
877,1848-02-01,1.9
878,1848-03-01,4.5
879,1848-04-01,9.7
880,1848-05-01,11.4
881,1848-06-01,15.9
882,1848-07-01,15.8
883,1848-08-01,15.4
884,1848-09-01,12.1
885,1848-10-01,9.2
886,1848-11-01,3.3
887,1848-12-01,0.0
888,1849-01-01,-2.3
889,1849-02-01,3.0
890,1849-03-01,2.8
891,1849-04-01,6.7
892,1849-05-01,11.8
893,1849-06-01,15.4
894,1849-07-01,15.2
895,1849-08-01,13.6
896,1849-09-01,11.3
897,1849-10-01,7.6
898,1849-11-01,2.2
899,1849-12-01,-1.7
900,1850-01-01,-4.3
901,1850-02-01,2.9
902,1850-03-01,1.8
903,1850-04-01,8.2
904,1850-05-01,11.9
905,1850-06-01,14.7
906,1850-07-01,15.0
907,1850-08-01,15.8
908,1850-09-01,10.7
909,1850-10-01,7.3
910,1850-11-01,4.9
911,1850-12-01,0.5
912,1851-01-01,-0.9
913,1851-02-01,0.2
914,1851-03-01,3.8
915,1851-04-01,8.4
916,1851-05-01,9.3
917,1851-06-01,14.2
918,1851-07-01,14.7
919,1851-08-01,14.8
920,1851-09-01,10.5
921,1851-10-01,9.8
922,1851-11-01,1.5
923,1851-12-01,0.3
924,1852-01-01,0.7
925,1852-02-01,2.0
926,1852-03-01,1.1
927,1852-04-01,5.2
928,1852-05-01,11.8
929,1852-06-01,14.9
930,1852-07-01,16.8
931,1852-08-01,15.7
932,1852-09-01,15.1
933,1852-10-01,8.4
934,1852-11-01,7.2
935,1852-12-01,3.5
936,1853-01-01,1.1
937,1853-02-01,-0.3
938,1853-03-01,0.9
939,1853-04-01,6.2
940,1853-05-01,14.3
941,1853-06-01,18.0
942,1853-07-01,20.1
943,1853-08-01,19.2
944,1853-09-01,14.9
945,1853-10-01,10.7
946,1853-11-01,3.0
947,1853-12-01,-4.4
948,1854-01-01,-0.8
949,1854-02-01,0.4
950,1854-03-01,3.7
951,1854-04-01,8.9
952,1854-05-01,15.4
953,1854-06-01,16.9
954,1854-07-01,19.5
955,1854-08-01,17.7
956,1854-09-01,13.9
957,1854-10-01,9.9
958,1854-11-01,2.4
959,1854-12-01,3.3
960,1855-01-01,-2.6
961,1855-02-01,-3.4
962,1855-03-01,4.1
963,1855-04-01,8.0
964,1855-05-01,13.7
965,1855-06-01,18.6
966,1855-07-01,19.4
967,1855-08-01,19.7
968,1855-09-01,14.6
969,1855-10-01,13.1
970,1855-11-01,4.4
971,1855-12-01,-5.6
972,1856-01-01,0.2
973,1856-02-01,2.8
974,1856-03-01,1.8
975,1856-04-01,11.4
976,1856-05-01,14.7
977,1856-06-01,19.6
978,1856-07-01,17.5
979,1856-08-01,20.0
980,1856-09-01,14.0
981,1856-10-01,10.3
982,1856-11-01,1.0
983,1856-12-01,-0.7
984,1857-01-01,-1.5
985,1857-02-01,-2.8
986,1857-03-01,3.4
987,1857-04-01,9.9
988,1857-05-01,14.0
989,1857-06-01,17.8
990,1857-07-01,21.2
991,1857-08-01,20.7
992,1857-09-01,16.1
993,1857-10-01,13.3
994,1857-11-01,2.4
995,1857-12-01,1.6
996,1858-01-01,-3.3
997,1858-02-01,-6.8
998,1858-03-01,2.6
999,1858-04-01,8.9
1000,1858-05-01,13.0
1001,1858-06-01,20.2
1002,1858-07-01,19.4
1003,1858-08-01,17.8
1004,1858-09-01,17.0
1005,1858-10-01,11.6
1006,1858-11-01,-0.1
1007,1858-12-01,0.8
1008,1859-01-01,-0.5
1009,1859-02-01,3.3
1010,1859-03-01,7.7
1011,1859-04-01,10.2
1012,1859-05-01,14.7
1013,1859-06-01,18.3
1014,1859-07-01,23.0
1015,1859-08-01,21.2
1016,1859-09-01,14.4
1017,1859-10-01,11.4
1018,1859-11-01,3.2
1019,1859-12-01,-3.0
1020,1860-01-01,1.4
1021,1860-02-01,-0.3
1022,1860-03-01,2.7
1023,1860-04-01,9.1
1024,1860-05-01,15.2
1025,1860-06-01,18.2
1026,1860-07-01,17.0
1027,1860-08-01,18.6
1028,1860-09-01,15.7
1029,1860-10-01,8.6
1030,1860-11-01,2.5
1031,1860-12-01,-0.8
1032,1861-01-01,-4.2
1033,1861-02-01,3.1
1034,1861-03-01,5.4
1035,1861-04-01,7.1
1036,1861-05-01,11.6
1037,1861-06-01,18.5
1038,1861-07-01,19.5
1039,1861-08-01,20.6
1040,1861-09-01,16.2
